ID,title,description,streetaddress,lon,lat,geoAddress,city,state,amenityfeatures,type,Year,notes,dateadded,lastmodified,full.address,status
251,Capitol Hill,"Hitch-hikers bet. 6th & 9th on Pennsylvania
",,-76.996525,38.884444,unclear_coded_by_hand,Washington,District of Columbia,Cruisy Area,Cruising Areas,1974,Pin placed between 6th and 9th St.,2/24/2020 5:41pm,2/26/2020 4:33pm,", District of Columbia",Verified Location
225,Capitol Hill,"Hitch-hikers bet. 6th & 9th on Pennsylvania
",,-76.996525,38.884444,unclear_coded_by_hand,Washington,District of Columbia,Cruisy Area,Cruising Areas,1972,Pin placed between 6th and 9th St.,2/24/2020 5:41pm,2/26/2020 4:33pm,", District of Columbia",Verified Location
337,Capitol Hill Townhouse,(looks promising),506 8th St. SE,-76.994739,38.8825187,"506 8th st se, washington, dc 20003, usa",Washington,District of Columbia,,Restaurant,1977,NA,2/17/2020 1:08am,2/17/2020 7:27pm,"506 8th St. SE, District of Columbia",Google Verified Location
507,Capitol Hill Townhouse,(Was closed - may be reopening),506 8th St. SE,-76.994739,38.8825187,"506 8th st se, washington, dc 20003, usa",Washington,District of Columbia,,Restaurant,1980,NA,2/18/2020 1:18am,2/18/2020 2:11am,"506 8th St. SE, District of Columbia",Google Verified Location
393,Capitol Hill Townhouse,,506 8th St. SE,-76.994739,38.8825187,"506 8th st se, washington, dc 20003, usa",Washington,District of Columbia,,Restaurant,1978,NA,2/17/2020 7:57pm,2/18/2020 2:10am,"506 8th St. SE, District of Columbia",Google Verified Location
451,Capitol Hill Townhouse,,506 8th St. SE,-76.994739,38.8825187,"506 8th st se, washington, dc 20003, usa",Washington,District of Columbia,,Restaurant,1979,NA,2/18/2020 12:30am,2/18/2020 2:10am,"506 8th St. SE, District of Columbia",Google Verified Location
68,Carroll's Tavern,,510 9th St NW,-77.0243098,38.8967636,"510 9th st nw, washington, dc 20004, usa",Washington,District of Columbia,"(*) - Very popular,(RT) - 'Raunchy types' - downtown type places - often hustlers",Bars/Clubs,1970,NA,2/16/2020 1:42pm,2/17/2020 1:06am,"510 9th St NW, District of Columbia",Google Verified Location
115,Carroll's Tavern,,510 9th St NW,-77.0243098,38.8967636,"510 9th st nw, washington, dc 20004, usa",Washington,District of Columbia,"(*) - Very popular,(RT) - 'Raunchy types' - downtown type places - often hustlers",Bars/Clubs,1972,NA,2/16/2020 4:44pm,2/17/2020 1:06am,"510 9th St NW, District of Columbia",Google Verified Location
338,Carroll's Tavern,(Lunch*) (RT nights),510 9th St NW,-77.0243098,38.8967636,"510 9th st nw, washington, dc 20004, usa",Washington,District of Columbia,"(*) - Very popular,(RT) - 'Raunchy types' - downtown type places - often hustlers","Bars/Clubs,Restaurant",1977,NA,2/17/2020 1:08am,2/17/2020 7:27pm,"510 9th St NW, District of Columbia",Google Verified Location
231,Carroll's Tavern,(Lunch*) (RT nights),510 9th St NW,-77.0243098,38.8967636,"510 9th st nw, washington, dc 20004, usa",Washington,District of Columbia,"(*) - Very popular,(RT) - 'Raunchy types' - downtown type places - often hustlers","Bars/Clubs,Restaurant",1975,NA,2/16/2020 6:33pm,2/17/2020 1:06am,"510 9th St NW, District of Columbia",Google Verified Location
89,Carroll's Tavern,,510 9th St NW,-77.0243098,38.8967636,"510 9th st nw, washington, dc 20004, usa",Washington,District of Columbia,"(*) - Very popular,(RT) - 'Raunchy types' - downtown type places - often hustlers",Bars/Clubs,1971,NA,2/16/2020 4:44pm,2/17/2020 1:06am,"510 9th St NW, District of Columbia",Google Verified Location
185,Carroll's Tavern,,510 9th St NW,-77.0243098,38.8967636,"510 9th st nw, washington, dc 20004, usa",Washington,District of Columbia,"(*) - Very popular,(RT) - 'Raunchy types' - downtown type places - often hustlers",Bars/Clubs,1974,NA,2/16/2020 5:59pm,2/17/2020 1:06am,"510 9th St NW, District of Columbia",Google Verified Location
394,Carroll's Tavern,(Lunch*) (RT nights),510 9th St NW,-77.0243098,38.8967636,"510 9th st nw, washington, dc 20004, usa",Washington,District of Columbia,"(*) - Very popular,(RT) - 'Raunchy types' - downtown type places - often hustlers","Bars/Clubs,Restaurant",1978,NA,2/17/2020 7:57pm,2/18/2020 2:10am,"510 9th St NW, District of Columbia",Google Verified Location
146,Carroll's Tavern,,510 9th St NW,-77.0243098,38.8967636,"510 9th st nw, washington, dc 20004, usa",Washington,District of Columbia,"(*) - Very popular,(RT) - 'Raunchy types' - downtown type places - often hustlers",Bars/Clubs,1973,NA,2/16/2020 5:39pm,2/17/2020 1:06am,"510 9th St NW, District of Columbia",Google Verified Location
508,Carroll's Tavern,(Lunch*) (RT nights),510 9th St NW,-77.0243098,38.8967636,"510 9th st nw, washington, dc 20004, usa",Washington,District of Columbia,"(*) - Very popular,(RT) - 'Raunchy types' - downtown type places - often hustlers","Bars/Clubs,Restaurant",1980,NA,2/18/2020 1:18am,2/18/2020 2:11am,"510 9th St NW, District of Columbia",Google Verified Location
452,Carroll's Tavern,(Lunch*) (RT nights),510 9th St NW,-77.0243098,38.8967636,"510 9th st nw, washington, dc 20004, usa",Washington,District of Columbia,"(*) - Very popular,(RT) - 'Raunchy types' - downtown type places - often hustlers","Bars/Clubs,Restaurant",1979,NA,2/18/2020 12:30am,2/18/2020 2:10am,"510 9th St NW, District of Columbia",Google Verified Location
32,Carroll's Tavern,,510 9th Ave NW,-77.0243098,38.8967636,"510 9th st nw, washington, dc 20004, usa",Washington,District of Columbia,(*) - Very popular,Bars/Clubs,1968,NA,2/16/2020 1:42pm,2/17/2020 1:06am,"510 9th Ave NW, District of Columbia",Google Verified Location
50,Carroll's Tavern,,510 9th St NW,-77.0243098,38.8967636,"510 9th st nw, washington, dc 20004, usa",Washington,District of Columbia,"(*) - Very popular,(RT) - 'Raunchy types' - downtown type places - often hustlers",Bars/Clubs,1969,NA,2/16/2020 1:42pm,2/17/2020 1:06am,"510 9th St NW, District of Columbia",Google Verified Location
16,Carroll's Tavern,,510 9th Ave NW,-77.0243098,38.8967636,"510 9th st nw, washington, dc 20004, usa",Washington,District of Columbia,,Bars/Clubs,1966,NA,2/16/2020 1:41pm,2/17/2020 1:06am,"510 9th Ave NW, District of Columbia",Google Verified Location
284,Carroll's Tavern,(Lunch*) (RT nights),510 9th St NW,-77.0243098,38.8967636,"510 9th st nw, washington, dc 20004, usa",Washington,District of Columbia,"(*) - Very popular,(RT) - 'Raunchy types' - downtown type places - often hustlers","Bars/Clubs,Restaurant",1976,NA,2/17/2020 12:53am,2/17/2020 1:29am,"510 9th St NW, District of Columbia",Google Verified Location
2,Carroll's Tavern,,510 9th Ave NW,-77.0243098,38.8967636,"510 9th st nw, washington, dc 20004, usa",Washington,District of Columbia,,Bars/Clubs,1965,NA,2/16/2020 1:41pm,2/17/2020 1:06am,"510 9th Ave NW, District of Columbia",Google Verified Location
339,Charleroi,(Disco) (WE*) (Some G) (Open for lunch),529 8th St. SE,-76.9953419,38.88189,"529 8th st se, washington, dc 20003, usa",Washington,District of Columbia,"(WE) = Weekends,(*) - Very popular,(D) - Dancing,(S) - Shows - impersonators or record pantomime acts - often touristy,""(G) - Girls, but seldom exclusively""","Restaurant,Bars/Clubs",1977,NA,2/17/2020 1:08am,2/18/2020 2:09am,"529 8th St. SE, District of Columbia",Google Verified Location
453,Chesapeake House,(Nude go go boys) (Some 'hustlers'),746 9th St NW,-77.0243753,38.8996045,"746 9th st nw, washington, dc 20001, usa",Washington,District of Columbia,,"Bars/Clubs,Restaurant",1979,NA,2/18/2020 12:30am,2/18/2020 2:10am,"746 9th St NW, District of Columbia",Google Verified Location
509,Chesapeake House,(Nude go go boys) (Some 'hustlers'),746 9th St NW,-77.0243753,38.8996045,"746 9th st nw, washington, dc 20001, usa",Washington,District of Columbia,(*) - Very popular,"Bars/Clubs,Restaurant",1980,NA,2/18/2020 1:18am,2/18/2020 2:11am,"746 9th St NW, District of Columbia",Google Verified Location
3,Chicken Hut,(also called DeSanto's or Lafayette),1720 H St. NW,-77.0405115,38.8999563,"1720 h st nw, washington, dc 20006, usa",Washington,District of Columbia,(*) - Very popular,Bars/Clubs,1965,NA,2/16/2020 1:41pm,2/17/2020 1:06am,"1720 H St. NW, District of Columbia",Google Verified Location
340,Cinema Follies,(Theater),37 L St. SE,-77.0080904,38.8772448,"37 l st se, washington, dc 20003, usa",Washington,District of Columbia,,Theatre,1977,NA,2/17/2020 1:08am,2/18/2020 2:09am,"37 L St. SE, District of Columbia",Google Verified Location
396,Cinema Follies,(Theater) ('wild back room'),37 L St. SE,-77.0080904,38.8772448,"37 l st se, washington, dc 20003, usa",Washington,District of Columbia,,Theatre,1978,NA,2/17/2020 7:57pm,2/18/2020 2:10am,"37 L St. SE, District of Columbia",Google Verified Location
454,Circus,(Disco) (Too new to tell how it will go) (basement) Anthony House Hotel,1823 L St. NW,-77.0426388,38.9040125,"1823 l st nw, washington, dc 20036, usa",Washington,District of Columbia,"(D) - Dancing,(M) - Mixed Crowds - Some Straights,(S) - Shows - impersonators or record pantomime acts - often touristy","Bars/Clubs,Hotels",1979,NA,2/18/2020 12:30am,2/18/2020 2:10am,"1823 L St. NW, District of Columbia",Google Verified Location
304,Club de Sade ,Tel: 331-WHIP,,-77.036871,38.907192,unclear_coded_by_hand,Washington,District of Columbia,(P) - Private club - Inquire locally to admission,Bars/Clubs,1978,,2/24/2020 5:41pm,2/26/2020 4:33pm,", District of Columbia",Location could not be verified. General city or location coordinates used.
455,Club East II,(Upstairs) (Tues. is leather/levi night) (Some SM),20 O St. S.E.,-77.009877,38.908314,"20 o st se, washington, dc 20003, usa",Washington,District of Columbia,(*) - Very popular,Baths,1979,NA,2/18/2020 12:30am,2/18/2020 2:10am,"20 O St. S.E., District of Columbia",Google Verified Location
511,Club East II,(Upstairs) (Tues. is leather/levi night) (Some SM),20 O St. S.E.,-77.009877,38.908314,"20 o st se, washington, dc 20003, usa",Washington,District of Columbia,"(*) - Very popular,(P) - Private club - Inquire locally to admission",Baths,1980,NA,2/18/2020 1:18am,2/18/2020 2:11am,"20 O St. S.E., District of Columbia",Google Verified Location
398,Club East II Baths,(Upstairs),20 O St. S.E.,-77.009877,38.908314,"20 o st se, washington, dc 20003, usa",Washington,District of Columbia,(*) - Very popular,Baths,1978,NA,2/17/2020 7:57pm,2/18/2020 2:10am,"20 O St. S.E., District of Columbia",Google Verified Location
147,Club East II Baths,,20 O St. S.E.,-77.009877,38.908314,"20 o st se, washington, dc 20003, usa",Washington,District of Columbia,(*) - Very popular,Baths,1973,NA,2/16/2020 5:39pm,2/17/2020 1:06am,"20 O St. S.E., District of Columbia",Google Verified Location
186,Club East II Baths,,20 O St. S.E.,-77.009877,38.908314,"20 o st se, washington, dc 20003, usa",Washington,District of Columbia,(*) - Very popular,Baths,1974,NA,2/16/2020 5:59pm,2/17/2020 1:06am,"20 O St. S.E., District of Columbia",Google Verified Location
341,Club East II Baths,,20 O St. S.E.,-77.009877,38.908314,"20 o st se, washington, dc 20003, usa",Washington,District of Columbia,(*) - Very popular,Baths,1977,NA,2/17/2020 1:09am,2/18/2020 2:09am,"20 O St. S.E., District of Columbia",Google Verified Location
232,Club East II Baths,,20 O St. S.E.,-77.009877,38.908314,"20 o st se, washington, dc 20003, usa",Washington,District of Columbia,(*) - Very popular,Baths,1975,NA,2/16/2020 6:33pm,2/17/2020 1:06am,"20 O St. S.E., District of Columbia",Google Verified Location
285,Club East II Baths,,20 O St. S.E.,-77.009877,38.908314,"20 o st se, washington, dc 20003, usa",Washington,District of Columbia,(*) - Very popular,Baths,1976,NA,2/17/2020 12:53am,2/17/2020 1:29am,"20 O St. S.E., District of Columbia",Google Verified Location
116,Club East II Baths,,20 O St. S.E.,-77.009877,38.908314,"20 o st se, washington, dc 20003, usa",Washington,District of Columbia,(*) - Very popular,Baths,1972,NA,2/16/2020 4:44pm,2/17/2020 1:06am,"20 O St. S.E., District of Columbia",Google Verified Location
286,Club Madame,at 'E' St.,506 8th St. SE ,-76.994739,38.8825187,"506 8th st se, washington, dc 20003, usa",Washington,District of Columbia,"""(G) - Girls, but seldom exclusively"",(D) - Dancing,(E) - Entertainment,(*) - Very popular",Bars/Clubs,1976,NA,2/17/2020 12:53am,2/17/2020 1:29am,"506 8th St. SE , District of Columbia",Google Verified Location
399,Club Madame,"(Popular Ms. bar, but poor P.R. & management)  at 'E' St.",500 8th St. SE ,-76.9947048,38.8825789,"500 8th st se, washington, dc 20003, usa",Washington,District of Columbia,"""(G) - Girls, but seldom exclusively"",(D) - Dancing,(E) - Entertainment,(*) - Very popular",Bars/Clubs,1978,NA,2/17/2020 7:57pm,2/18/2020 2:10am,"500 8th St. SE , District of Columbia",Google Verified Location
456,Club Madame,,500 8th St. SE ,-76.9947048,38.8825789,"500 8th st se, washington, dc 20003, usa",Washington,District of Columbia,"""(G) - Girls, but seldom exclusively"",(D) - Dancing,(E) - Entertainment",Bars/Clubs,1979,NA,2/18/2020 12:30am,2/18/2020 2:10am,"500 8th St. SE , District of Columbia",Google Verified Location
342,Club Madame,(Disco) at 'E' St.,506 8th St. SE ,-76.994739,38.8825187,"506 8th st se, washington, dc 20003, usa",Washington,District of Columbia,"""(G) - Girls, but seldom exclusively"",(D) - Dancing,(E) - Entertainment,(*) - Very popular",Bars/Clubs,1977,NA,2/17/2020 1:09am,2/18/2020 2:09am,"506 8th St. SE , District of Columbia",Google Verified Location
287,Community Book Store,,2325 18th St. NW,-77.0416155,38.9203988,"2325 18th st nw, washington, dc 20009, usa",Washington,District of Columbia,,Book Store,1976,NA,2/17/2020 12:53am,2/17/2020 1:29am,"2325 18th St. NW, District of Columbia",Google Verified Location
343,Community Books,,2028 P St. NW,-77.0461446,38.90941,"2028 p st nw, washington, dc 20036, usa",Washington,District of Columbia,,Book Store,1977,NA,2/17/2020 1:09am,2/18/2020 2:09am,"2028 P St. NW, District of Columbia",Google Verified Location
400,Court Jester,(looks promising),2321 Wisconsin Ave. N.W.,-77.0715367,38.9208592,"2321 wisconsin ave nw, washington, dc 20007, usa",Washington,District of Columbia,(D) - Dancing,"Bars/Clubs,Restaurant",1978,NA,2/17/2020 7:57pm,2/18/2020 2:10am,"2321 Wisconsin Ave. N.W., District of Columbia",Google Verified Location
457,Court Jester,(Cruisy),2321 Wisconsin Ave. N.W.,-77.0715367,38.9208592,"2321 wisconsin ave nw, washington, dc 20007, usa",Washington,District of Columbia,"(D) - Dancing,(YC) - Young and/or collegiate types,(*) - Very popular","Bars/Clubs,Restaurant,Cruising Areas",1979,NA,2/18/2020 12:30am,2/18/2020 2:10am,"2321 Wisconsin Ave. N.W., District of Columbia",Google Verified Location
90,Court Jester's,,823 13th St.,-77.0295818,38.9004306,"823 13th st nw, washington, dc 20005, usa",Washington,District of Columbia,"(M) - Mixed Crowds - Some Straights,(S) - Shows - impersonators or record pantomime acts - often touristy,(RT) - 'Raunchy types' - downtown type places - often hustlers,(*) - Very popular",Bars/Clubs,1971,NA,2/16/2020 4:44pm,2/17/2020 1:06am,"823 13th St., District of Columbia",Google Verified Location
187,Cozy Corner,,708 Florida Ave NW,-77.0224559,38.9161869,"708 florida ave nw, washington, dc 20001, usa",Washington,District of Columbia,(D) - Dancing,Bars/Clubs,1974,NA,2/16/2020 5:59pm,2/17/2020 1:06am,"708 Florida Ave NW, District of Columbia",Google Verified Location
91,Cozy Corner,,708 Florida Ave NW,-77.0224559,38.9161869,"708 florida ave nw, washington, dc 20001, usa",Washington,District of Columbia,(B) - Blacks frequent,Bars/Clubs,1971,NA,2/16/2020 4:44pm,2/17/2020 1:06am,"708 Florida Ave NW, District of Columbia",Google Verified Location
233,Cozy Corner,,708 Florida Ave NW,-77.0224559,38.9161869,"708 florida ave nw, washington, dc 20001, usa",Washington,District of Columbia,"(D) - Dancing,(B) - Blacks frequent",Bars/Clubs,1975,NA,2/16/2020 6:33pm,2/17/2020 1:06am,"708 Florida Ave NW, District of Columbia",Google Verified Location
