"","ID","title","description","streetaddress","city","state","amenityfeatures","type","notes","dateadded","lastmodified","Year","full.address","lon","lat","geoAddress","Status"
"37",2406,"Parkside Room ","Holiday Inn Midtown (Liquor) ","Tidewater Dr. & Virginia Beach Bl. ","Norfolk","VA","(M) - Mixed - Some Straights,(OC) - Older/More Mature Crowd","Bars/Clubs,Hotels","","","",1977,"Tidewater Dr. & Virginia Beach Bl. , Norfolk, VA",-76.274677,36.854276,"unclear_coded_by_hand","Verified Location"
"38",228,"Buddy's Jazz Lounge","","","Norfolk","VA","(M) - Mixed Crowds","Bars/Clubs","","8/31/2019 1:17pm","9/7/2019 1:20pm",1971,", Norfolk, VA",-76.28202,36.878542,"unclear_coded_by_hand","Verified Location"
"39",1425,"Buddy's Jazz Lounge ","","35th & Granby ","Norfolk","VA","(M) - Mixed Crowds","Bars/Clubs","","","",1972,"35th & Granby , Norfolk, VA",-76.28202,36.878542,"unclear_coded_by_hand","Verified Location"
"40",162,"Buddy's Jazz Lounge","","","Norfolk","VA","(M) - Mixed Crowds","Bars/Clubs","","9/7/2019 12:27pm","9/7/2019 1:18pm",1974,", Norfolk, VA",-76.28202,36.878542,"unclear_coded_by_hand","Verified Location"
"41",2468,"Buddy's Jazz Lounge ","","35th & Granby ","Norfolk","VA","(M) - Mixed - Some Straights,(YC) - Young and/or collegiate types","Bars/Clubs","","","",1977,"35th & Granby , Norfolk, VA",-76.28202,36.878542,"unclear_coded_by_hand","Verified Location"
"42",2002,"Buddy's Jazz Lounge","","35th & Granby","Norfolk","VA","(M) - Mixed or partially straight,(YC) - Young and/or collegiate types","Bars/Clubs","","","",1976,"35th & Granby, Norfolk, VA",-76.28202,36.878542,"unclear_coded_by_hand","Verified Location"
"43",1729,"Buddy's Jazz Lounge","","35th & Granby","Norfolk","VA","(YC) - Young and/or collegiate types,(M) - Mixed Crowds","Bars/Clubs","","","",1970,"35th & Granby, Norfolk, VA",-76.28202,36.878542,"unclear_coded_by_hand","Verified Location"
"44",2625,"Buddy's Jazz Lounge","","35th & Granby ","Norfolk","VA","(M) - Mixed or partially straight","Bars/Clubs","","","",1975,"35th & Granby , Norfolk, VA",-76.28202,36.878542,"unclear_coded_by_hand","Verified Location"
"45",1648,"Buddy's Jazz Lounge ","","35th & Granby","Norfolk","VA","(M) - Mixed Crowds","Bars/Clubs","","","",1973,"35th & Granby, Norfolk, VA",-76.28202,36.878542,"unclear_coded_by_hand","Verified Location"
"46",293,"Buddy's Jazz Lounge","","","Norfolk","VA","(YC) - Young and/or collegiate types,(M) - Mixed Crowds","Bars/Clubs","","8/13/2019 4:17pm","9/7/2019 1:33pm",1969,", Norfolk, VA",-76.28202,36.878542,"unclear_coded_by_hand","Verified Location"
"47",860,"Fleet","","2013 Taussig","Norfolk","VA","(M) - Mixed or partially straight","Restaurant","","12/17/2019 9:53am","12/17/2019 9:53am",1975,"2013 Taussig, Norfolk, VA",-76.2858726,36.8507689,"norfolk, va, usa","Google Verified Location"
