ID,title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,notes,dateadded,lastmodified
76,Casbar,,1390 Ocean Dr.,Miami Beach,FL,,Bars/Clubs,,,9/4/2019 3:58pm,9/4/2019 4:05pm
77,Mayflower Lounge,(go thru bar to Billy Lee's Back Room--admission charge),1716 Alton Rd.,Miami Beach,FL,"(YC) - Young and/or collegiate types,(D) - Dancing",Bars/Clubs,,,9/4/2019 3:58pm,9/4/2019 4:05pm
78,Pin Up,,2228 Park Ave.,Miami Beach,FL,,Bars/Clubs,,,9/4/2019 3:58pm,9/4/2019 4:05pm
79,Cactus Room,,60 N. Orange Ave.,Orlando,FL,(M) - Mixed Crowds,Bars/Clubs,,,9/4/2019 3:58pm,9/4/2019 4:05pm
80,Phil Berger's Musical Bar,,29 W. Central,Orlando,FL,(M) - Mixed Crowds,Bars/Clubs,,,9/4/2019 3:58pm,9/4/2019 4:05pm
81,San Carlos Hotel Bar,,1 Pelfox,Pensacola,FL,(M) - Mixed Crowds,"Bars/Clubs,Hotels",,,9/4/2019 3:58pm,12/7/2019 2:02pm
82,Trader Jon's,,511 S. Pelfox,Pensacola,FL,,Bars/Clubs,,,9/4/2019 3:58pm,9/4/2019 4:05pm
83,Anchor Bar,,172 Central Ave.,St. Petersburg,FL,(M) - Mixed Crowds,Bars/Clubs,,,9/4/2019 3:58pm,9/4/2019 4:05pm
84,Davey Jones' Locker,"(tourists, seasonal)",7212 Gulf Blvd. St. Petersburg Beach,St. Petersburg,FL,(S) - Shows - impersonators or record pantomime acts - often touristy,Bars/Clubs,,,9/4/2019 3:58pm,9/7/2019 1:47pm
85,Patio,,1637 N. 4th St.,St. Petersburg,FL,,Bars/Clubs,,,9/4/2019 3:58pm,9/7/2019 1:47pm
86,Sherwood,,7 N. 1st St,St. Petersburg,FL,(*) - Very popular,Bars/Clubs,,,9/4/2019 3:58pm,9/7/2019 1:47pm
87,Ten Beach Drive,,10 Beach Dr.,St. Petersburg,FL,,Bars/Clubs,,,9/4/2019 3:58pm,9/7/2019 1:47pm
88,Trade Winds,,233 Central Ave.,St. Petersburg,FL,(M) - Mixed Crowds,Bars/Clubs,,,9/4/2019 3:58pm,9/7/2019 1:47pm
89,Body Shop,,14 S. Lune Ave.,Sarasota,FL,(*) - Very popular,Bars/Clubs,,,9/4/2019 3:58pm,9/7/2019 1:47pm
90,Cork n' Kettle,,41 South St.,Sarasota,FL,(M) - Mixed Crowds,Bars/Clubs,,,9/4/2019 3:58pm,9/7/2019 1:47pm
91,Elbo Room,,5 Blvd. of Presidents,Sarasota,FL,(M) - Mixed Crowds,Bars/Clubs,,,9/4/2019 3:58pm,9/7/2019 1:47pm
94,Cypress Lounge,Floridian Hotel,204 N. Monroe,Tallahassee,FL,(M) - Mixed Crowds,"Bars/Clubs,Hotels",,,9/4/2019 3:58pm,12/7/2019 2:02pm
95,Duval Hotel Bar,,415 N. Monroe,Tallahassee,FL,(M) - Mixed Crowds,"Bars/Clubs,Hotels",,,9/4/2019 3:58pm,12/7/2019 2:02pm
97,Adonis,,1100 Florida Ave.,Tampa,FL,"""(C) - Coffee, soft drinks and sometimes snacks"",(YC) - Young and/or collegiate types",Bars/Clubs,,,9/4/2019 3:58pm,9/7/2019 1:47pm
98,Carousel,,1806 W. Platt St.,Tampa,FL,"(*) - Very popular,(YC) - Young and/or collegiate types,(D) - Dancing",Bars/Clubs,,,9/4/2019 3:58pm,9/7/2019 1:47pm
99,Cucujo's,,1725 W. Kennedy ,Tampa,FL,"""(G) - Girls, but rarely exclusively"",(M) - Mixed Crowds",Bars/Clubs,,,9/4/2019 3:58pm,9/7/2019 1:47pm
