ID,title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,notes,dateadded,lastmodified,Year
111,Twilight,,1786 Madison,Memphis,TN,"""(G) - Girls, but seldom exclusively""",Bars/Clubs,,,8/14/2019 2:03am,9/7/2019 2:21pm,1965
112,Hi Hat Lounge,,605 Commerce,Nashville,TN,(M) - Mixed Crowds,Bars/Clubs,,,8/14/2019 2:03am,9/7/2019 2:21pm,1965
113,Jungle,"Also called Juanita's
",713 Commerce,Nashville,TN,,Bars/Clubs,,,8/14/2019 2:03am,9/7/2019 2:21pm,1965
114,Ship's Lounge,,214 E 3rd,Amarillo,TX,(M) - Mixed Crowds,Bars/Clubs,,,8/14/2019 2:03am,9/7/2019 2:21pm,1965
115,Freddie's,,509 E 6th,Austin,TX,,Bars/Clubs,,,8/14/2019 2:03am,9/7/2019 2:21pm,1965
116,New Orleans,,1125 Red River,Austin,TX,(M) - Mixed Crowds,Bars/Clubs,,,8/14/2019 2:03am,9/7/2019 2:21pm,1965
117,Playboy,,485 Crockett,Beaumont,TX,(M) - Mixed Crowds,Bars/Clubs,,,8/14/2019 2:03am,9/7/2019 2:21pm,1965
118,Park Lounge,,2175 Tancahua,Corpus Christi,TX,,Bars/Clubs,,,8/19/2019 12:56am,9/7/2019 2:21pm,1965
120,Centaur,,2237 Cedar Spings,Dallas,TX,,Bars/Clubs,,,8/19/2019 12:56am,9/7/2019 2:21pm,1965
121,Gene's Music Box,,307 S Akard,Dallas,TX,,Bars/Clubs,,,8/19/2019 12:56am,9/7/2019 2:21pm,1965
123,Villa Fontana,,1315 Skiles,Dallas,TX,(*) - Very popular,Bars/Clubs,,,8/19/2019 12:56am,9/7/2019 2:21pm,1965
124,Zoo Bar,,1600 Commerce St.,Dallas,TX,"(M) - Mixed Crowds,(RT) - 'Raunchy types' - downtown type places - often hustlers",Bars/Clubs,,,8/19/2019 12:56am,9/7/2019 2:21pm,1965
126,Club Pigalle,,613 E San Antonio,El Paso,TX,,Bars/Clubs,,,8/19/2019 12:56am,9/7/2019 2:21pm,1965
127,Green Grog,,333 N Orgeon,El Paso,TX,(M) - Mixed Crowds,Bars/Clubs,,,8/19/2019 12:56am,9/7/2019 2:21pm,1965
130,Louisa's,,1428 Strand,Galveston,TX,,Bars/Clubs,,,8/19/2019 12:56am,9/7/2019 2:21pm,1965
131,Carnival Room,,2506 Tangley,Houston,TX,,Bars/Clubs,,,8/19/2019 12:56am,9/7/2019 2:21pm,1965
132,Exile,,1011 Bell,Houston,TX,(*) - Very popular,Bars/Clubs,,,8/19/2019 12:56am,9/7/2019 2:21pm,1965
133,European Lounge,,2119 Leeland,Houston,TX,,Bars/Clubs,,,8/19/2019 12:56am,9/7/2019 2:21pm,1965
134,Fiesta Club,,3007 Travis,Houston,TX,,Bars/Clubs,,,8/19/2019 12:56am,9/7/2019 2:21pm,1965
135,Golden Nugget,,2802 Austin,Houston,TX,,Bars/Clubs,,,8/19/2019 12:56am,9/7/2019 2:21pm,1965
136,Joker Lounge,,706 Elgin,Houston,TX,,Bars/Clubs,,,8/19/2019 12:56am,9/7/2019 2:21pm,1965
137,Numbers,,1003 California,Houston,TX,,Bars/Clubs,,,8/19/2019 12:56am,9/7/2019 2:21pm,1965
138,Pink Elephant,,1218 Leeland,Houston,TX,(RT) - 'Raunchy types' - downtown type places - often hustlers,Bars/Clubs,,,8/19/2019 12:56am,9/7/2019 2:21pm,1965
139,Red Feather,,1525 Richmond,Houston,TX,(*) - Very popular,Bars/Clubs,,,8/19/2019 12:56am,9/7/2019 2:21pm,1965
140,Red Room,,612 Hadley,Houston,TX,,Bars/Clubs,,,8/19/2019 12:56am,9/7/2019 2:21pm,1965
141,Showboat,,1104 Tuam,Houston,TX,,Bars/Clubs,,,8/19/2019 12:56am,9/7/2019 2:21pm,1965
142,Stadium,,2417 Times,Houston,TX,(*) - Very popular,Bars/Clubs,,,8/19/2019 12:56am,9/7/2019 2:21pm,1965
143,Surf,,2909 Main St.,Houston,TX,,Bars/Clubs,,,8/19/2019 12:56am,9/7/2019 2:21pm,1965
144,Cork Room,,411 N St Mary's,San Antonio,TX,(*) - Very popular,Bars/Clubs,,,8/19/2019 12:56am,9/7/2019 2:21pm,1965
145,Marine Room,,721 Navarro,San Antonio,TX,(RT) - 'Raunchy types' - downtown type places - often hustlers,Bars/Clubs,,,8/19/2019 12:56am,9/7/2019 2:21pm,1965
146,Paul's,"Weekends, Inquire locally
",,San Antonio,TX,"(D) - Dancing,(P) - Private club - Inquire locally to admission",Bars/Clubs,,,8/19/2019 12:56am,9/7/2019 2:21pm,1965
147,Top Hat,,210 S New Braunfels,San Antonio,TX,,Bars/Clubs,,,8/19/2019 12:56am,9/7/2019 2:21pm,1965
148,Blue Lounge,"Piano bar
",1016 Scott,Wichita Falls,TX,(M) - Mixed Crowds,Bars/Clubs,,,8/19/2019 12:56am,9/7/2019 2:21pm,1965
149,Office,,800 Travis,Wichita Falls,TX,(*) - Very popular,Bars/Clubs,,,8/19/2019 12:56am,9/7/2019 2:21pm,1965
150,Continental,,111 W Tazewell,Norfolk,VA,(*) - Very popular,Bars/Clubs,,,8/19/2019 12:56am,9/7/2019 2:21pm,1965
152,Rene's,,206 N 8th St.,Richmond,VA,(*) - Very popular,Bars/Clubs,,,8/19/2019 1:12am,9/7/2019 2:21pm,1965
153,Trade Winds,,717 Franklin Rd Sw,Roanoke,VA,,Bars/Clubs,,,8/19/2019 1:12am,9/7/2019 2:21pm,1965
154,Craig's,,2101 Atlantic,Virginia Beach,VA,(*) - Very popular,Bars/Clubs,,,8/19/2019 1:12am,9/7/2019 2:22pm,1965
10,Ocean Club,,14 Kendall St.,Clearwater,FL,,Bars/Clubs,,,8/14/2019 12:23am,9/7/2019 2:21pm,1965
11,Hollywood,,415 Main St.,Daytona Beach,FL,,Bars/Clubs,,,8/14/2019 12:23am,9/7/2019 2:21pm,1965
12,Yum Yum Tree,"(Hwy 1 in Holly Hill)
",703 Ridgewood,Daytona Beach,FL,(*) - Very popular,Bars/Clubs,,,8/14/2019 12:23am,9/7/2019 2:21pm,1965
13,Elbo Room,"(Fort Lauderdale Beach)
",241 S Atlantic,Ft. Lauderdale,FL,(M) - Mixed Crowds,Bars/Clubs,,,8/14/2019 12:23am,9/7/2019 2:21pm,1965
14,Val's,,4003 N Andrews,Ft. Lauderdale,FL,"(P) - Private club - Inquire locally to admission,(D) - Dancing,(*) - Very popular",Bars/Clubs,,,8/14/2019 12:23am,9/7/2019 2:21pm,1965
15,Wine-N-Stein,,3919 S State Rd ,Ft. Lauderdale,FL,,Bars/Clubs,,,8/14/2019 12:23am,9/7/2019 2:21pm,1965
16,Zanzibar,,214 SW 1st Ave,Ft. Lauderdale,FL,(*) - Very popular,Bars/Clubs,,,8/14/2019 12:23am,9/7/2019 2:21pm,1965
17,Calypso Lounge,,130 San Carlos,Ft. Myers,FL,,Bars/Clubs,,,8/14/2019 12:23am,9/7/2019 2:21pm,1965
18,George Washington Hotel Bar,,305 W Adams,Jacksonville,FL,,"Bars/Clubs,Hotels",,,8/14/2019 12:23am,12/7/2019 4:58pm,1965
19,Howard's,,238 W Adams,Jacksonville,FL,(*) - Very popular,Bars/Clubs,,,8/14/2019 12:23am,9/7/2019 2:21pm,1965
20,Waldorf Lounge,,14 E Forsythe,Jacksonville,FL,,Bars/Clubs,,,8/14/2019 12:23am,9/7/2019 2:21pm,1965
21,Butch's,,412 Boardwalk,Jacksonville Beach,FL,(M) - Mixed Crowds,Bars/Clubs,,,8/14/2019 12:23am,9/7/2019 2:21pm,1965
